target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
AT1G58180.1,4.97366,1.93501,2.13492,0.0,3.91901,1.89057,4.87522,1.09938,2.91315
AT1G58180.4,18.498,21.1052,21.1802,27.2054,22.3339,27.5331,30.5762,32.104,30.7131
AT1G58180.6,0.853928,1.3857,1.45988,0.0,3.78091,0.774148,2.59835,6.07431,1.61747
AT1G58180.3,0.36974,1.22783,2.01467,0.0,1.41909,0.0,0.696736,1.9636,0.335143
AT1G58180.2,2.2917e-05,0.295532,0.0,0.0,0.0,0.0,0.0227402,3.01501e-08,0.0
AT1G58180.7,12.0225,11.5765,6.79897,11.4555,7.28869,10.2281,14.6973,8.15091,8.18822
AT1G58180.5,0.466901,0.0,0.418186,0.0,0.381179,1.14715,0.470102,0.491723,1.0432
AT4G21050.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G72790.1,167.746,147.392,180.689,135.445,132.804,121.576,129.691,147.801,161.459
AT3G27750.1,2.00791,2.87238,2.30977,4.10041,0.994636,2.87895,3.31624,1.83184,1.39881
AT5G64667.1,39.8261,45.1791,50.182,45.0222,25.705,27.4764,25.4267,29.3074,29.4714
AT5G19820.1,34.9997,35.1944,36.0112,32.9853,32.3694,30.4315,26.7863,36.736,42.7156
AT3G49390.1,11.2498,12.4744,16.301,9.66028,9.5539,14.1647,8.53716,6.7573,11.7391
AT3G49390.3,0.0,0.604365,0.0,0.0,0.392508,0.0,0.0,0.0,0.454789
AT3G49390.2,37.2105,38.7801,34.2139,40.41,34.073,29.3187,31.038,30.5509,26.9304
AT5G60805.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G40880.2,18.8814,14.9088,17.2236,13.496,16.4629,12.558,32.6167,25.7017,24.9155
AT5G40880.1,17.7409,19.8846,17.6112,22.9286,19.6337,16.6615,13.5022,15.0739,21.9063
AT1G33870.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
